category,total_revenue,total_orders,avg_order_value,avg_review_score
bed_bath_table,1687695.83,9267,154.22606506442474,3.9255614083726087
health_beauty,1620584.42,8645,171.2910284325124,4.190767539192736
computers_accessories,1547995.92,6524,202.69686002356946,3.986843836337324
furniture_decor,1393698.85,6302,170.92210571498651,3.954483527371811
watches_gifts,1386140.8,5489,236.82569622415855,4.070924427612326
sports_leisure,1347802.41,7526,159.95756112034178,4.1659500776304785
housewares,1069545.65,5740,157.49457370048592,4.108560426540285
auto,832436.27,3804,201.36339380745042,4.1163898387884705
garden_tools,808455.4,3446,189.51134552273794,4.085771590372818
cool_stuff,744286.66,3556,200.34634185733515,4.1953336950623985
office_furniture,635643.59,1252,381.5387695078031,3.51271186440678
toys,602705.11,3801,149.6660317854482,4.208531398548912
baby,525370.33,2807,176.29876845637583,4.078965167399391
perfumery,496071.85,3085,148.5689877208745,4.2198016826923075
telephony,469724.99,4090,106.10458323921391,3.994546693933197
stationery,308561.32,2263,125.1770060851927,4.245510204081633
pet_shop,307716.36,1688,159.93573804573805,4.216710182767624
computers,274671.88,177,1380.260703517588,4.219387755102041
electronics,245191.17,2516,89.87946114369502,4.066814322628276
unknown,245057.95,1410,157.4922557840617,3.9349093264248705
