customer_state,avg_delivery_days,total_orders
SP,8.234532529082292,40476
PR,11.480793060718712,4923
MG,11.491094935728666,11352
DF,12.501486199575371,2080
SC,14.517207712960703,3546
RS,14.625774877650898,5342
RJ,14.64115441748603,12344
GO,14.66637323943662,1954
ES,14.933813597478613,1991
MS,15.10727496917386,701
TO,17.003225806451614,274
MT,17.508196721311474,886
PE,17.707163323782236,1592
PI,18.25911708253359,474
BA,18.532842736440447,3247
RN,18.575,473
RO,19.28205128205128,243
SE,20.067024128686327,333
PB,20.119453924914676,517
AC,20.32967032967033,80
CE,20.348314606741575,1277
MA,21.020025031289112,716
PA,23.138651471984804,945
AP,23.72151898734177,66
AL,23.992974238875878,397
RR,24.622222222222224,40
AM,25.271604938271604,144
