customer_state,total_revenue,total_orders,avg_order_value,avg_delivery_days
SP,7400148.42,40476,159.41724299870745,8.234532529082292
RJ,2686382.54,12344,190.02493739831647,14.64115441748603
MG,2280092.83,11352,176.55976691962212,11.491094935728666
RS,1109874.73,5342,181.05623654159868,14.625774877650898
PR,1030822.39,4923,182.4787378297044,11.480793060718712
SC,767093.97,3546,187.23309006590188,14.517207712960703
BA,765688.91,3247,208.69144453529572,18.532842736440447
GO,491526.18,1954,216.3407482394366,14.66637323943662
DF,421374.86,2080,178.92775371549894,12.501486199575371
ES,397725.88,1991,179.07513732552906,14.933813597478613
PE,360929.56,1592,206.8364240687679,17.707163323782236
CE,333091.04,1277,233.91224719101123,20.348314606741575
PA,254639.96,945,241.82332383665715,23.138651471984804
MT,251504.48,886,242.53083895853425,17.508196721311474
MA,194771.39,716,243.76894868585734,21.020025031289112
PB,177370.59,517,302.6801877133106,20.119453924914676
MS,162748.16,701,200.67590628853267,15.10727496917386
PI,133043.51,474,255.36182341650672,18.25911708253359
RN,114969.58,473,221.09534615384615,18.575
AL,108425.06999999999,397,253.92288056206087,23.992974238875878
SE,85182.97,333,228.37257372654156,20.067024128686327
TO,70934.12,274,228.81974193548385,17.003225806451614
RO,65200.66,243,238.83025641025642,19.28205128205128
AM,34315.13,144,211.82179012345676,25.271604938271604
AC,24890.49,80,273.52186813186813,20.32967032967033
AP,21011.63,66,265.97,23.72151898734177
RR,11034.03,40,245.20066666666668,24.622222222222224
